AJL,Turial,AIZAWL,23.747,92.803
AMD,Ahmedabad,AHMEDABAD,23.077,72.635
ATQ,Amritsar,AMRITSAR,31.710,74.797
BBI,Bhubaneswar,BHUBANESHWAR,20.244,85.818
BDQ,Vadodara,VADODARA,22.336,73.226
BEP,Bellary,BELLARY,15.163,76.883
BHJ,Bhuj,BHUJ,23.288,69.670
BHO,Bhopal,BHOPAL,23.287,77.337
BHU,Bhavnagar,BHAVNAGAR,21.752,72.185
BKB,Bikaner,NAL,28.071,73.207
BLR,Bangalore,Bengaluru International Airport,13.198,77.706
BOM,Mumbai,CHHATRAPATI SHIVAJI INTL,19.089,72.868
BPM,Hyderabad,HYDERABAD,17.453,78.468
CCJ,Kerala,CALICUT,11.137,75.955
CCU,Kolkata,NETAJI SUBHASH CHANDRA BOSE INTL,22.655,88.447
CJB,Coimbatore,COIMBATORE,11.030,77.043
COK,Cochin,COCHIN INTL,10.152,76.402
DED,Dehradun,DEHRADUN,30.190,78.180
DEL,Delhi,INDIRA GANDHI INTL,28.567,77.103
DHM,Gaggal,KANGRA,32.165,76.263
DIB,Dibrugarh,DIBRUGARH,27.484,95.017
DIU,Diu,DIU,20.713,70.921
DMU,Dimapur,DIMAPUR,25.884,93.771
GAU,Guwahati,GUWAHATI INTL,26.106,91.586
GOI,Dabolim,GOA,15.381,73.831
GOP,Gorakhpur,GORAKHPUR,26.740,83.450
GWL,Gwalior,GWALIOR,26.293,78.228
HBX,Hubli,HUBLI,15.362,75.085
HJR,Khajuraho,KHAJURAHO,24.817,79.919
HYD,Hyderabad,"Rajiv Gandhi International Airport, Shamshabad",17.231,78.430
IDR,Indore,DEVI AHILYABAI HOLKAR,22.722,75.801
IMF,Imphal,IMPHAL,24.760,93.897
ISK,Nashik,NASIK ROAD,19.964,73.808
IXA,Agartala,AGARTALA,23.887,91.240
IXB,Siliguri,BAGDOGRA,26.681,88.329
IXC,Chandigarh,CHANDIGARH,30.673,76.789
IXD,Allahabad,ALLAHABAD,25.440,81.734
IXE,Mangalore,MANGALORE,12.961,74.890
IXG,Belgaum,BELGAUM,15.859,74.618
IXI,North Lakhimpur,LILABARI,27.295,94.098
IXJ,Jammu,JAMMU,32.689,74.837
IXL,Leh,LEH,34.136,77.547
IXM,Madurai,MADURAI,9.835,78.093
IXN,Khowai,Khowai Airport,24.062,91.604
IXR,Ranchi,BIRSA MUNDA,23.314,85.322
IXS,Kumbhigram,SILCHAR,24.913,92.979
IXT,Pasighat,Pasighat Airport,28.066,95.336
IXU,Aurangabad,AURANGABAD,19.863,75.398
IXY,Kandla,KANDLA,23.113,70.100
IXZ,Port Blair,PORT BLAIR,11.641,92.730
JAI,Jaipur,JAIPUR,26.824,75.812
JDH,Jodhpur,JODHPUR,26.251,73.049
JGA,Jamnagar,JAMNAGAR,22.466,70.013
JGB,Jagdalpur,JAGDALPUR,19.074,82.037
JRH,Jorhat,JORHAT,26.732,94.176
LDA,Malda,Malda Airport,25.033,88.133
LKO,Lucknow,LUCKNOW,26.761,80.889
LTU,Latur,MUROD KOND,18.411,76.465
MAA,Madras,CHENNAI INTL,12.994,80.181
MYQ,Mysore,Mysore Airport,12.307,76.650
NAG,Nagpur,DR AMBEDKAR INTL,21.092,79.047
NDC,Nanded,NANDER,19.182,77.318
PAT,Patna,PATNA,25.591,85.088
PBD,Porbandar,PORBANDAR,21.649,69.657
PGH,Pantnagar,PANTNAGAR,29.033,79.474
PNQ,Pune,PUNE,18.582,73.920
PUT,Prasanthinilayam,SRI SATHYA SAI,14.149,77.791
PYB,Jeypore,Jeypore Airport,18.880,82.552
RAJ,Rajkot,RAJKOT,22.309,70.780
RGH,Balurghat,Balurghat Airport,25.262,88.796
RJA,Rajahmundry,RAJAHMUNDRY,17.110,81.818
RPR,Raipur,RAIPUR,21.180,81.739
SHL,Shillong,BARAPANI,25.704,91.979
SSE,Solapur,SHOLAPUR,17.628,75.935
SXR,Srinagar,SRINAGAR,33.987,74.774
TEI,Tezu,TEJU NEW,27.941,96.134
TIR,Tirupati,TIRUPATI,13.632,79.543
TJV,Thanjavur,TANJORE,10.722,79.102
TRV,Trivandrum,THIRUVANANTHAPURAM INTL,8.482,76.920
TRZ,Tiruchirappally,TIRUCHIRAPPALLI,10.765,78.710
UDR,Udaipur,UDAIPUR,24.618,73.896
VNS,Varanasi,VARANASI,25.452,82.859
VTZ,Visakhapatnam,VISHAKHAPATNAM,17.721,83.224
WGC,Warrangal,Warangal Airport,17.914,79.602
