station_name,station_code,station_lat,station_long
Taku ,TAKU,61.1609702,-149.8770255
Monu ,MANU,38.0070587,-119.0122589
Hilligrove ,HLG,34.0169444,-117.98
Malancha ,MLNH,33.4778854,-117.6233642
Lusadiya ,LSD,33.0680967,-117.3033709
Morena ,MRA,32.767107,-117.1941153
Silao ,SILO,20.952141,-101.4282369
Mor ,MOR,18.6813049,-99.1013498
Ray ,RAY,39.3354791,-93.9878427
Marenga ,MEZ,41.7927817,-92.0696253
Robertson ,ROB,36.5250666,-86.8621827
Faridabad New Town ,FDN,35.5174913,-86.5804473
Shalimar ,SHM,30.4457544,-86.5791189
Mandrak ,MXK,41.8111301,-86.2286336
Summer Hill ,SHZ,39.986756,-86.180353
Kandel Road ,KDLR,40.187861,-83.3653029
Amagura ,AGZ,23.1268522,-82.3079791
Masur ,MSR,41.2111676,-80.5378494
Laban ,LBN,37.400566,-76.284271
Salem Town ,SXT,42.51954,-70.8967155
Ditokcherra ,DTC,43.7384383,-65.9831903
Isand ,EN,64.963051,-19.020835
Kayar ,KAYR,14.9191667,-17.1211111
Kolda ,KFF,12.9107495,-14.9505671
Kita ,KITA,13.05,-9.4833333
Mirchadhori ,MCQ,39.8063446,-8.2684023
Lorha ,LOA,10.65,-2.8666667
Mohope ,MHPE,54.851096,-2.350721
Vatlur ,VAT,39.481508,-0.36
Banas ,BNS,44.810999,1.909735
Bar ,BAR,44.1887187,2.0764229
Chata ,CHJ,48.896391,2.160098
Maur ,MAUR,44.711069,2.198335
Guna ,GUNA,49.519051,3.267496
Veer ,VEER,51.3177448,3.9371368
Charaud ,CRW,44.592578,4.247616
Her ,HER,51.5368948,7.2009147
Bad ,BAD,46.6665896,7.277058
Ren ,REN,50.4166116,7.2861713
Mandal ,MDL,58.0276808,7.4533303
Bale ,BALE,47.5674422,7.5975507
Tori ,TORI,45.070312,7.6868565
Niwar ,NWR,46.3188212,7.8499714
Suisa ,SSIA,46.818188,8.227512
Kargi Road ,KGB,11.1037677,8.2851127
Muri ,MURI,47.2719036,8.3417691
Amli ,AMLI,58.7684458,8.4865147
Wadi ,WADI,47.2265324,8.6695707
